id,Porositas,sw,Volume_Reservoir,Outcome
1,15.6473978,48.92932862,13042.60167,7068.297693
2,15.6321339,48.92932862,13044.73144,7062.555711
3,15.067247,49.92932862,13031.5864,6939.467449
4,15.7771716,37.92932862,13031.44137,5519.960628
5,19.61687,37.92932862,13030.73144,6862.982394
6,15.0519831,37.92932862,13039.5864,5269.530407
7,18.0214553,37.92932862,13037.86122,6308.274592
8,18.4565684,37.92932862,13038.9452,6461.119792
9,17.8764176,37.92932862,13029.57114,
10,17.7313799,37.92932862,13028.00625,6202.044379
11,18.4565684,37.92932862,13027.86122,6455.627406
12,18.166493,37.92932862,13029.71618,6355.07131
13,18.6016061,37.92932862,13042.72445,6513.780795
14,18.166493,37.92932862,13044.1443,6362.108435
15,18.6016061,37.92932862,13041.15957,6512.999265
16,18.7466438,38.92932862,13023.1443,6727.52802
17,18.7466438,38.92932862,13029.99926,6731.069172
18,18.7466438,38.92932862,13041.28934,6736.901429
19,15.0287501,38.92932862,13040.1443,5400.343629
20,15.593637,39.92932862,13024.1443,5740.210894
21,15.3035616,36.92932862,13034.99926,
22,15.3035616,36.92932862,13024.28934,5210.233477
23,15.8684485,36.92932862,13029.99926,5404.922749
24,15.5783731,36.92932862,13028.99926,5305.713483
25,15.4333354,36.92932862,13027.72445,5255.801953
26,15.5631092,37.92932862,13026.1443,5442.853263
27,15.5631092,37.92932862,13029.15957,5444.113166
28,19.5478453,37.92932862,13043.1443,6845.348591
29,18.8226568,37.92932862,13042.99926,6591.325665
30,17.9524306,39.92932862,13029.28934,6611.122647
31,17.9984675,39.92932862,13028.1443,6627.493606
32,17.4183167,39.92932862,13039.1443,6419.282717
33,17.8381659,39.92932862,13029.99926,6569.401704
34,17.6931282,39.92932862,13029.28934,6515.632515
35,17.3877889,39.92932862,13042.99926,6409.926617
36,17.8076381,39.92932862,13049.99926,6568.225237
37,17.0977135,39.92932862,13029.11377,6296.281562
38,17.0824496,39.055053,13028.09851,6152.443504
39,17.5022988,39.92932862,13027.80844,
40,17.6473365,39.92932862,13022.67866,6495.472079
41,19.922148,34.92932862,13028.24355,6417.287404
42,17.2122234,34.92932862,13029.80844,5545.037204
43,19.6320726,36.92932862,13028.67866,6686.166041
44,19.3491694,37.92932862,13026.8237,6767.29703
45,19.6239809,37.92932862,13028.67866,6864.388606
46,19.6239809,37.92932862,13029.25881,6864.694268
47,19.1888678,39.92932862,13046.24355,7075.645429
48,19.6239809,39.92932862,13029.09851,7226.578244
49,19.7537547,37.92932862,13049.53362,6920.843418
50,19.4636793,38.92932862,13027.53362,6987.201661
51,19.4484154,36.055053,13029.8237,6467.376154
52,19.15834,35.92932862,13029.53362,6348.557688
53,17.4178876,35.92932862,13027.67866,5770.996946
54,19.15834,35.92932862,13027.67866,6347.65387
55,19.3033777,35.92932862,13027.8237,6395.779819
56,17.9980384,35.92932862,13029.53362,5964.065
57,18.5635996,35.92932862,13029.53362,6151.476744
58,18.7086373,35.92932862,13028.96874,6199.269556
59,19.1437504,35.92932862,13049.67866,6353.531156
60,19.3880341,35.92932862,13046.8237,6433.197609
61,19.853675,37.92932862,13045.08325,6953.478879
62,18.853675,37.92932862,13047.64813,6604.540825
63,18.5635996,37.92932862,13029.5031,6493.882445
64,19.5788635,37.92932862,13046.93821,6858.20497
65,19.1437504,37.92932862,13042.08325,6703.295547
66,19.1437504,37.92932862,13042.93821,6703.734975
67,18.1284865,37.92932862,13048.22828,6350.785874
68,18.853675,37.92932862,13024.93821,6593.045375
69,18.853675,37.92932862,13028.22828,6594.710763
70,18.853675,36.92932862,13021.93821,6417.742384
71,18.1284865,36.92932862,13027.08325,6173.32824
72,18.9987127,36.92932862,13029.22828,6470.733326
